CATEGORY (i.e.ISCED description),COURSE TITLE,R1 2020,2020 R1 Random,R2 P2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,2020 Interview,avp,v
Physical sciences,Physics and Astrophysics,554,0.0,542,0.0,531,1.0,589,8,University College Cork (NUI),0.0,0,0
Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,432,0.0,0,0.0,432,0.0,499,8,University College Cork (NUI),0.0,0,0
Information and Communication Technologies (ICTs),Data Science and Analytics,510,0.0,0,0.0,509,0.0,554,8,University College Cork (NUI),0.0,0,0
Agriculture,Agricultural Science,496,1.0,496,1.0,489,1.0,510,8,University College Cork (NUI),0.0,0,0
Biological and related sciences,Nutritional Sciences,518,0.0,0,0.0,517,1.0,554,8,University College Cork (NUI),0.0,0,0
Manufacturing and processing,Food Science,441,0.0,440,1.0,420,0.0,465,8,University College Cork (NUI),0.0,0,0
Engineering and engineering trades,Engineering,487,0.0,0,0.0,487,0.0,532,8,University College Cork (NUI),0.0,0,0
Architecture and construction,Architecture - Offered jointly by UCC and CIT,484,0.0,476,0.0,469,0.0,510,8,University College Cork (NUI),0.0,0,0
Health,Medicine (Undergraduate Entry - HPAT required),731,0.0,0,0.0,731,0.0,739,8,University College Cork (NUI),1.0,0,0
Health,Dentistry,613,1.0,613,1.0,613,1.0,613,8,University College Cork (NUI),0.0,0,0
Health,Pharmacy,590,0.0,589,1.0,589,1.0,602,8,University College Cork (NUI),0.0,0,0
Health,Occupational Therapy,566,0.0,555,1.0,555,1.0,577,8,University College Cork (NUI),0.0,0,0
Health,Speech and Language Therapy,520,0.0,0,0.0,520,0.0,541,8,University College Cork (NUI),0.0,0,0
Health,Public Health Sciences,454,0.0,0,0.0,454,0.0,477,8,University College Cork (NUI),0.0,0,0
Health,Medical and Health Sciences,542,0.0,541,0.0,541,0.0,555,8,University College Cork (NUI),0.0,0,0
Health,General Nursing,454,1.0,0,0.0,454,1.0,477,8,University College Cork (NUI),0.0,0,0
Health,Children`s and General Nursing (Integrated),533,0.0,0,0.0,533,0.0,553,8,University College Cork (NUI),0.0,0,0
Health,Mental Health Nursing,423,0.0,0,0.0,419,0.0,440,8,University College Cork (NUI),0.0,0,0
Health,Intellectual Disability Nursing,419,0.0,411,0.0,400,0.0,433,8,University College Cork (NUI),0.0,0,0
Health,Midwifery,484,0.0,0,0.0,473,1.0,507,8,University College Cork (NUI),0.0,0,0
Health,Medicine  - Graduate Entry (GAMSAT required),57,1.0,0,0.0,57,1.0,58,8,University College Cork (NUI),1.0,0,0
Education,Education - Primary Teaching,484,1.0,0,0.0,484,1.0,487,8,Marino Institute of Education,0.0,0,0
Education,Education - Primary Teaching - Gaeltacht Applicants,0,0.0,0,0.0,0,0.0,0,8,Marino Institute of Education,1.0,0,0
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,0.0,0,0.0,528,0.0,570,8,Marino Institute of Education,1.0,0,0
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,0.0,0,0.0,494,0.0,513,8,Marino Institute of Education,1.0,0,0
Education,Education Studies,319,0.0,0,0.0,317,0.0,407,8,Marino Institute of Education,0.0,avp,0
Education,Early Childhood Education,327,0.0,0,0.0,327,0.0,390,8,Marino Institute of Education,0.0,0,0
Physical sciences,Applied Physics and Instrumentation,250,0.0,0,0.0,250,0.0,487,7,Cork Institute of Technology,0.0,0,0
Biological and related sciences,Applied Biosciences,361,0.0,0,0.0,361,0.0,489,7,Cork Institute of Technology,0.0,0,0
Physical sciences,Analytical and Pharmaceutical Chemistry,240,0.0,0,0.0,240,0.0,487,7,Cork Institute of Technology,0.0,0,0
Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,0.0,0,0.0,321,0.0,422,7,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Development,307,0.0,0,0.0,307,0.0,413,7,Cork Institute of Technology,0.0,0,0
Business and administration,Business (Common Entry),255,0.0,0,0.0,255,0.0,433,7,Cork Institute of Technology,0.0,0,0
Business and administration,Business Administration,190,0.0,0,0.0,190,0.0,336,7,Cork Institute of Technology,0.0,0,0
Welfare,Social Care Work,346,0.0,0,0.0,346,0.0,411,7,Cork Institute of Technology,0.0,0,0
Personal services,Recreation and Leisure Management,298,0.0,0,0.0,298,0.0,378,7,Cork Institute of Technology,0.0,0,0
