COURSE TITLE,R1 2019,R2 2019,Course Level,2019 Interview,2019 R1 Random
Science Education,424.0,476.0,8,0,0
Athletic Therapy and Training,484.0,500.0,8,0,0
Physical Education with Biology,490.0,521.0,8,0,0
Physical Education with Mathematics,443.0,476.0,8,0,0
Psychology,509.0,521.0,8,0,0
Health and Society,419.0,440.0,8,0,0
General Nursing,414.0,443.0,8,0,0
Mental Health Nursing,368.0,389.0,8,0,0
Intellectual Disability Nursing,347.0,362.0,8,0,0
Children`s and General Nursing (Integrated),467.0,480.0,8,0,0
"Economics, Politics and Law",400.0,431.0,8,0,0
International Relations,387.0,445.0,8,0,0
Law and Society (BCL),453.0,487.0,8,0,0
Education and Training - Daytime Delivery Mode (full-time),307.0,327.0,8,0,0
Social Sciences and Cultural Innovation,358.0,388.0,8,0,0
"Marketing, Innovation and Technology",451.0,474.0,8,0,0
Arts (Joint Honours) - Media Studies,349.0,392.0,8,0,0
Arts (Joint Honours) - Law,356.0,388.0,8,0,0
Arts (Joint Honours) - International Languages,369.0,400.0,8,0,0
Arts (Joint Honours) - Politics,348.0,387.0,8,0,0
Product Design,433.0,464.0,8,0,0
Transport Operations and Technology,279.0,348.0,8,0,0
Electrical Services and Energy Management,293.0,340.0,8,0,0
Engineering (General Entry),400.0,457.0,8,0,0
Architecture (test and interview),618.0,647.0,8,1,0
Planning and Environmental Management,312.0,337.0,8,0,0
Property Economics (Valuation Surveying),367.0,424.0,8,0,0
Quantity Surveying and Construction Economics,391.0,421.0,8,0,0
Geographic Science,287.0,335.0,8,0,0
Construction Management,356.0,373.0,8,0,0
Architectural Technology,388.0,425.0,8,0,0
Science (General Entry),464.0,477.0,8,0,0
Analytical Chemistry (Environmental Forensic and Pharmaceutical),341.0,403.0,8,0,0
Biomedical Science,501.0,512.0,8,0,0
Mathematical Sciences,315.0,363.0,8,0,0
Biomedical and Molecular Diagnostics,473.0,487.0,8,0,0
Computer Science (Infrastructure),381.0,414.0,8,0,0
Industrial Mathematics,300.0,317.0,8,0,0
Physics with Energy and Environment,348.0,436.0,8,0,0
Physics Technology,321.0,371.0,8,0,0
Human Nutrition and Dietetics,553.0,566.0,8,0,0
Optometry,487.0,529.0,8,0,0
Public Health Nutrition,440.0,476.0,8,0,0
Science with Nanotechnology,312.0,361.0,8,0,0
Computer Science,451.0,466.0,8,0,0
Clinical Measurement Science,491.0,509.0,8,0,0
Physics with Medical Physics and Bioengineering,357.0,403.0,8,0,0
Computer Science (International),377.0,402.0,8,0,0
Chemical Sciences with Medicinal Chemistry,420.0,445.0,8,0,0
Business Analytics,325.0,403.0,8,0,0
E-Commerce in Retailing,341.0,388.0,8,0,0
Business and Law,462.0,478.0,8,0,0
Marketing,400.0,419.0,8,0,0
Retail and Services Management,301.0,332.0,8,0,0
Business Computing,322.0,341.0,8,0,0
Logistics and Supply Chain Management,300.0,359.0,8,0,0
Business and Management,440.0,456.0,8,0,0
Accounting and Finance,432.0,454.0,8,0,0
Human Resource Management,375.0,388.0,8,0,0
Economics and Finance,437.0,465.0,8,0,0
International Hospitality Management,300.0,337.0,8,0,0
Culinary Science,308.0,377.0,8,0,0
Culinary Arts,271.0,342.0,8,0,0
Tourism Marketing,284.0,322.0,8,0,0
Event Management,356.0,389.0,8,0,0
Culinary Entrepreneurship,275.0,339.0,8,0,0
Nutraceuticals in Health and Nutrition,392.0,432.0,8,0,0
Food Innovation,321.0,366.0,8,0,0
Pharmaceutical Healthcare,397.0,423.0,8,0,0
Environmental Health,343.0,380.0,8,0,0
Music,383.0,520.0,8,1,0
Film and Broadcasting,443.0,467.0,8,0,0
Commercial Modern Music,468.0,835.0,8,1,0
Game Design,403.0,454.0,8,0,0
Languages and English Studies,326.0,419.0,8,0,0
Languages and International Tourism,307.0,357.0,8,0,0
Drama (Performance),371.0,519.0,8,1,0
Law (LL.B.),422.0,441.0,8,0,0
Contemporary Visual Culture,,,8,1,0
Interior Design,552.0,866.0,8,1,0
Design - Visual Communication,667.0,897.0,8,1,0
Fine Art,668.0,813.0,8,1,0
International Business and Languages,353.0,399.0,8,0,0
Photography,700.0,926.0,8,1,0
Social Care,394.0,424.0,8,0,0
Early Childhood Education,385.0,403.0,8,0,0
Journalism,347.0,373.0,8,0,0
Print Media Technology and Management,252.0,311.0,8,0,0
Creative and Cultural Industries,280.0,369.0,8,0,0
"English, Media and Cultural Studies",211.0,317.0,8,0,0
Arts Management,209.0,319.0,8,0,0
Business Studies - Entrepreneurship and Management,260.0,316.0,8,0,0
Applied Psychology,349.0,413.0,8,0,0
Visual Communication Design,736.0,989.0,8,1,0
Art,583.0,902.0,8,1,0
"3D Design, Modelmaking and Digital Art",691.0,866.0,8,1,0
Design for Stage and Screen (Costume Design),817.0,1021.0,8,1,0
Design for Stage and Screen (Makeup Design),879.0,953.0,8,1,0
Design for Stage and Screen (Production Design),893.0,1073.0,8,1,0
Animation,855.0,1055.0,8,1,0
Photography,636.0,791.0,8,1,0
Film and Television Production,933.0,1011.0,8,1,0
Creative Media Technologies,237.0,289.0,8,0,0
Creative Computing,217.0,326.0,8,0,0
New Media Studies,290.0,349.0,8,0,0
Creative Music Production,746.0,873.0,8,1,0
Business Studies (Cork),269.0,359.0,8,0,0
Accounting and Finance (Cork),251.0,388.0,8,0,0
Computing Science (Cork),228.0,327.0,8,0,0
Business Studies (Limerick),251.0,302.0,8,0,0
Accounting and Finance,307.0,314.0,8,0,0
"Business Studies - (HRM, Limerick)",269.0,269.0,8,0,0
International Hospitality Management (Limerick),327.0,327.0,8,0,0
Business Studies (Dublin),246.0,297.0,8,0,0
Accounting and Finance (Dublin),181.0,309.0,8,0,0
"Business Studies (HRM, Dublin)",217.0,290.0,8,0,0
Law (Dublin),225.0,308.0,8,0,0
International Hospitality Management (Dublin),254.0,272.0,8,0,0
"Business Studies (Marketing, Dublin)",246.0,330.0,8,0,0
Computing Science (Dublin),217.0,269.0,8,0,0
Journalism and Visual Media (Dublin),227.0,307.0,8,0,0
Design Communication (Dublin),,,8,0,0
Interior Architecture (Dublin),267.0,361.0,8,1,0
Fashion Design (Dublin),,,8,1,0
Accounting and Finance,229.0,291.0,8,0,0
Business Studies,285.0,366.0,8,0,0
Business Studies with Chinese,,,8,0,0
Business,252.0,289.0,8,0,0
Business and Information Technology,254.0,290.0,8,0,0
Computing (Information Technology),260.0,293.0,8,0,0
Applied Social Studies in Social Care,300.0,328.0,8,0,0
Engineering (Common Entry with Award options),271.0,318.0,8,0,0
Business (Common Entry with Award options),260.0,279.0,8,0,0
International Business,253.0,308.0,8,0,0
Sports Management and Coaching,270.0,298.0,8,0,0
Creative Digital Media,280.0,329.0,8,0,0
Horticulture,289.0,321.0,8,0,0
Accounting and Finance,280.0,332.0,8,0,0
Community and Youth Development,250.0,298.0,8,0,0
Computer Engineering in Mobile Systems,273.0,311.0,8,0,0
Early Childhood Care and Education,290.0,320.0,8,0,0
Digital Marketing,270.0,308.0,8,0,0
Digital Forensics and Cyber Security,281.0,326.0,8,0,0
Mechatronic Engineering,276.0,340.0,8,0,0
