CATEGORY,COURSE TITLE,COURSE CODE,R1 2020,2020 R1 Random,R2 2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,Course Level,HEI,2020 Interview,avp,v
Business and administration,Business Administration,190.0,0.0,,0.0,190,,336,7,Cork Institute of Technology,0.0,,,CR
Welfare,Social Care Work,346.0,0.0,,0.0,346,,411,7,Cork Institute of Technology,0.0,,,CR
Personal services,Recreation and Leisure Management,298.0,0.0,,0.0,298,,378,7,Cork Institute of Technology,0.0,,,CR
Welfare,Community Development,100.0,0.0,,0.0,100,,251,7,Cork Institute of Technology,0.0,,,CR
Personal services,Tourism Management,216.0,0.0,,0.0,216,,399,7,Cork Institute of Technology,0.0,,,CR
Personal services,Hospitality Management,208.0,0.0,,0.0,208,,316,7,Cork Institute of Technology,0.0,,,CR
Transport services,Automotive Technology and Management,216.0,0.0,,0.0,216,,337,7,Cork Institute of Technology,0.0,,,CR
Architecture and construction,Civil Engineering,248.0,0.0,,0.0,248,,451,7,Cork Institute of Technology,0.0,,,CR
Architecture and construction,Construction,251.0,0.0,,0.0,251,,367,7,Cork Institute of Technology,0.0,,,CR
Arts,Interior Architecture,308.0,0.0,,0.0,308,,434,7,Cork Institute of Technology,0.0,,,CR
Engineering and engineering trades,Environmental Engineering,258.0,0.0,,0.0,258,,409,7,Cork Institute of Technology,0.0,,,CR
Engineering and engineering trades,Electronic Engineering,260.0,0.0,,0.0,260,,444,7,Cork Institute of Technology,0.0,,,CR
Engineering and engineering trades,Electrical Engineering,300.0,0.0,,0.0,300,,401,7,Cork Institute of Technology,0.0,,,CR
Engineering and engineering trades,Mechanical Engineering,261.0,0.0,,0.0,261,,444,7,Cork Institute of Technology,0.0,,,CR
Health,Biomedical Engineering,306.0,0.0,,0.0,306,,498,7,Cork Institute of Technology,0.0,,,CR
Architecture and construction,Architectural Technology,266.0,0.0,,0.0,266,,411,7,Cork Institute of Technology,0.0,,,CR
Transport services,Nautical Science at National Maritime College of Ireland,243.0,0.0,,0.0,243,,380,7,Cork Institute of Technology,0.0,,,CR
Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,255.0,0.0,,0.0,255,,389,7,Cork Institute of Technology,0.0,,,CR
Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,443.0,0.0,,0.0,443,,532,8,Cork Institute of Technology,0.0,,,CR
Information and Communication Technologies (ICTs),Software Development,411.0,0.0,,0.0,411,,463,8,Cork Institute of Technology,0.0,,,CR
Engineering and engineering trades,Mechanical Engineering,434.0,0.0,,0.0,434,,509,8,Cork Institute of Technology,0.0,,,CR
